period,type,label,clicks,impressions,ctr,position,classes,cluster,service,city,suggestedPrimaryRoute,relationStatus,action
28d,query,büroreinigung,0,117,0,13.04,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,unclassified,,,,unclear,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,query,büroreinigung in düsseldorf,0,112,0,14.34,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY|STRONG_QUERY_WEAK_PAGE|CANNIBALIZATION_RISK,duesseldorf-office-cleaning,bueroreinigung,duesseldorf,/duesseldorf/bueroreinigung,probable,"Audit indexability, canonical, sitemap, internal links and competing pages before changing the target."
28d,query,büroreinigung düesseldorf,0,100,0,8.66,CTR_OPPORTUNITY|POSITION_4_TO_10,unclassified,,,,unclear,Test one concise title or description variant and measure for at least 28 days.
28d,query,glasreinigung düsseldorf,0,99,0,15.08,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY|STRONG_QUERY_WEAK_PAGE,duesseldorf-window-cleaning,fensterreinigung,duesseldorf,/duesseldorf/fensterreinigung,probable,"Audit indexability, canonical, sitemap, internal links and competing pages before changing the target."
28d,query,baureinigung düsseldorf,0,94,0,16.59,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,duesseldorf-construction-cleaning,baureinigung,duesseldorf,/duesseldorf/baureinigung,probable,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,query,umzug regensburg,0,89,0,61.65,STRONG_QUERY_WEAK_PAGE|CANNIBALIZATION_RISK,regensburg-move,umzug,regensburg,/regensburg/umzug,probable,"Audit indexability, canonical, sitemap, internal links and competing pages before changing the target."
28d,query,reinigungsfirma angebot,0,84,0,38.74,STRONG_QUERY_WEAK_PAGE,cleaning-offer,reinigungsangebot,,/reinigungsfirma-angebot,probable,"Audit indexability, canonical, sitemap, internal links and competing pages before changing the target."
28d,query,putzfirmen düsseldorf,0,73,0,19.53,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,unclassified,,,,unclear,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,query,bauendreinigung,0,72,0,8.81,CTR_OPPORTUNITY|POSITION_4_TO_10,unclassified,,,,unclear,Test one concise title or description variant and measure for at least 28 days.
28d,query,wohnungsreinigung münchen,0,68,0,51.46,OFF_TOPIC_VISIBILITY,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,umzug im alter erlangen,0,67,0,3.87,CTR_OPPORTUNITY,unclassified,,,,unclear,Test one concise title or description variant and measure for at least 28 days.
28d,query,baureinigung,0,66,0,8.82,CTR_OPPORTUNITY|POSITION_4_TO_10,unclassified,,,,unclear,Test one concise title or description variant and measure for at least 28 days.
28d,query,grundreinigung wohnung düsseldorf,2,65,3.08,7.62,POSITION_4_TO_10,duesseldorf-deep-cleaning,grundreinigung,duesseldorf,/duesseldorf/grundreinigung,probable,Review /duesseldorf/grundreinigung manually against the separate query and page aggregates.
28d,query,wohnungsauflösung regensburg,0,65,0,29.83,STRONG_QUERY_WEAK_PAGE,regensburg-household-clearance,wohnungsaufloesung,regensburg,/regensburg/wohnungsaufloesung,probable,"Audit indexability, canonical, sitemap, internal links and competing pages before changing the target."
28d,query,grundreinigung,0,63,0,5.84,CTR_OPPORTUNITY|POSITION_4_TO_10,unclassified,,,,unclear,Test one concise title or description variant and measure for at least 28 days.
28d,query,wohnungsreinigung düsseldorf,0,62,0,26.79,MANUAL_REVIEW,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,Review /duesseldorf/reinigung manually against the separate query and page aggregates.
28d,query,praxisreinigung,0,57,0,10.89,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,unclassified,,,,unclear,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,query,umzug im alter bayern,0,56,0,6.5,CTR_OPPORTUNITY|POSITION_4_TO_10,unclassified,,,,unclear,Test one concise title or description variant and measure for at least 28 days.
28d,query,reinigungsdienst,0,53,0,2.26,CTR_OPPORTUNITY,unclassified,,,,unclear,Test one concise title or description variant and measure for at least 28 days.
28d,query,reinigungsfirmen düsseldorf,0,51,0,7.04,CTR_OPPORTUNITY|POSITION_4_TO_10,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,Test one concise title or description variant and measure for at least 28 days.
28d,query,umzugsunternehmen regensburg,0,51,0,78.55,STRONG_QUERY_WEAK_PAGE|CANNIBALIZATION_RISK,regensburg-move,umzug,regensburg,/regensburg/umzug,probable,"Audit indexability, canonical, sitemap, internal links and competing pages before changing the target."
28d,query,baustellenreinigung düsseldorf,0,50,0,6.54,CTR_OPPORTUNITY|POSITION_4_TO_10,duesseldorf-construction-cleaning,baureinigung,duesseldorf,/duesseldorf/baureinigung,probable,Test one concise title or description variant and measure for at least 28 days.
28d,query,spezialreinigung düsseldorf,0,50,0,7.88,CTR_OPPORTUNITY|POSITION_4_TO_10,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,Test one concise title or description variant and measure for at least 28 days.
28d,query,umzugshelfer für senioren nürnberg,0,50,0,18.04,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY|OFF_TOPIC_VISIBILITY,unclassified,,,,unclear,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,query,treppenreinigung düsseldorf,0,49,0,3.24,CTR_OPPORTUNITY,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,Test one concise title or description variant and measure for at least 28 days.
28d,query,büroreinigung regensburg,0,49,0,27.57,MANUAL_REVIEW,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,umzugshelfer für senioren bayern,0,47,0,6.66,CTR_OPPORTUNITY|POSITION_4_TO_10,unclassified,,,,unclear,Test one concise title or description variant and measure for at least 28 days.
28d,query,baufeinreinigung düsseldorf,0,46,0,6.98,CTR_OPPORTUNITY|POSITION_4_TO_10,duesseldorf-construction-cleaning,baureinigung,duesseldorf,/duesseldorf/baureinigung,probable,Test one concise title or description variant and measure for at least 28 days.
28d,query,praxisentrümpelung nürnberg,0,46,0,16.54,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY|OFF_TOPIC_VISIBILITY,unclassified,,,,unclear,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,query,reinigungsfirma regensburg,0,46,0,44.39,MANUAL_REVIEW,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,fensterreinigung,0,44,0,6.43,CTR_OPPORTUNITY|POSITION_4_TO_10,unclassified,,,,unclear,Test one concise title or description variant and measure for at least 28 days.
28d,query,angebot für reinigungsarbeiten,0,44,0,30.39,MANUAL_REVIEW,cleaning-offer,reinigungsangebot,,/reinigungsfirma-angebot,probable,Review /reinigungsfirma-angebot manually against the separate query and page aggregates.
28d,query,reinigungsfirma angebot erstellen,0,43,0,39.05,MANUAL_REVIEW,cleaning-offer,reinigungsangebot,,/reinigungsfirma-angebot,probable,Review /reinigungsfirma-angebot manually against the separate query and page aggregates.
28d,query,reinigung offerte schreiben,0,41,0,41.8,MANUAL_REVIEW,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,reinigungs angebot schreiben,0,41,0,57.61,MANUAL_REVIEW,cleaning-offer,reinigungsangebot,,/reinigungsfirma-angebot,probable,Review /reinigungsfirma-angebot manually against the separate query and page aggregates.
28d,query,endreinigung wohnung münchen,0,40,0,61.55,OFF_TOPIC_VISIBILITY,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,reinigung nach umzug münchen,0,39,0,52.28,OFF_TOPIC_VISIBILITY,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,wohnung geruchsentfernung düsseldorf,0,38,0,6.32,CTR_OPPORTUNITY|POSITION_4_TO_10,unclassified,,,,unclear,Test one concise title or description variant and measure for at least 28 days.
28d,query,fernumzug münchen,0,38,0,9.08,CTR_OPPORTUNITY|POSITION_4_TO_10|OFF_TOPIC_VISIBILITY,unclassified,,,,unclear,Test one concise title or description variant and measure for at least 28 days.
28d,query,reinigungsdienste düsseldorf,0,38,0,16.16,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,query,geruchsneutralisation wohnung düsseldorf,0,37,0,3.41,CTR_OPPORTUNITY,unclassified,,,,unclear,Test one concise title or description variant and measure for at least 28 days.
28d,query,geruchsneutralisation düsseldorf,0,37,0,5.05,CTR_OPPORTUNITY|POSITION_4_TO_10,unclassified,,,,unclear,Test one concise title or description variant and measure for at least 28 days.
28d,query,gebäudereinigungsfirma düsseldorf,0,37,0,6.86,CTR_OPPORTUNITY|POSITION_4_TO_10,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,Test one concise title or description variant and measure for at least 28 days.
28d,query,fenster putzen düsseldorf,0,37,0,14.14,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,unclassified,,,,unclear,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,query,hausmeisterservice düsseldorf,0,36,0,5.44,CTR_OPPORTUNITY|POSITION_4_TO_10,unclassified,,,,unclear,Test one concise title or description variant and measure for at least 28 days.
28d,query,angebot schreiben reinigung,0,36,0,42.42,MANUAL_REVIEW,cleaning-offer,reinigungsangebot,,/reinigungsfirma-angebot,probable,Review /reinigungsfirma-angebot manually against the separate query and page aggregates.
28d,query,hausreinigung düsseldorf,0,35,0,2.03,CTR_OPPORTUNITY,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,Test one concise title or description variant and measure for at least 28 days.
28d,query,büro putzen düsseldorf,0,34,0,8.06,CTR_OPPORTUNITY|POSITION_4_TO_10,unclassified,,,,unclear,Test one concise title or description variant and measure for at least 28 days.
28d,query,bodenreinigung düsseldorf,0,33,0,1.67,CTR_OPPORTUNITY,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,Test one concise title or description variant and measure for at least 28 days.
28d,query,umzug vohenstrauß,0,33,0,6.33,CTR_OPPORTUNITY|POSITION_4_TO_10,unclassified,,,,unclear,Test one concise title or description variant and measure for at least 28 days.
28d,query,schulreinigung düsseldorf,0,33,0,13,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,query,angebot reinigung,0,33,0,16.15,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,cleaning-offer,reinigungsangebot,,/reinigungsfirma-angebot,probable,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,query,reinigungsangebot,0,32,0,21.03,MANUAL_REVIEW,cleaning-offer,reinigungsangebot,,/reinigungsfirma-angebot,probable,Review /reinigungsfirma-angebot manually against the separate query and page aggregates.
28d,query,wohnungsauflösungen regensburg,0,32,0,39.28,MANUAL_REVIEW,regensburg-household-clearance,wohnungsaufloesung,regensburg,/regensburg/wohnungsaufloesung,probable,Review /regensburg/wohnungsaufloesung manually against the separate query and page aggregates.
28d,query,umzugsreinigung düsseldorf,1,31,3.23,1.71,MANUAL_REVIEW,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,Review /duesseldorf/reinigung manually against the separate query and page aggregates.
28d,query,reinigungsfirma regensburg privathaushalt,0,31,0,39.81,MANUAL_REVIEW,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,professionelle lagerhallenreinigung in düsseldorf und umkreis,0,30,0,3.43,CTR_OPPORTUNITY,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,Test one concise title or description variant and measure for at least 28 days.
28d,query,umzug erding preise,0,30,0,12.6,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,unclassified,,,,unclear,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,query,umzugsservice regensburg,0,30,0,22.37,CANNIBALIZATION_RISK,regensburg-move,umzug,regensburg,/regensburg/umzug,probable,"Review historical alias, redirect, canonical, sitemap and internal links; do not infer query-to-URL proof."
28d,query,umzüge regensburg,0,30,0,31.7,MANUAL_REVIEW,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,treppenhausreinigung angebot erstellen,0,30,0,51.93,MANUAL_REVIEW,cleaning-offer,reinigungsangebot,,/reinigungsfirma-angebot,probable,Review /reinigungsfirma-angebot manually against the separate query and page aggregates.
28d,query,klaviertransport regensburg,1,29,3.45,3.31,PROTECT_WINNER,regensburg-piano-transport,klaviertransport,regensburg,/klaviertransport-regensburg,probable,Protect URL and primary signals; use one measured snippet or internal-link improvement.
28d,query,umzug im alter fürth,0,28,0,7.18,CTR_OPPORTUNITY|POSITION_4_TO_10,unclassified,,,,unclear,Test one concise title or description variant and measure for at least 28 days.
28d,query,verkaufsflächenreinigung,0,28,0,39.18,MANUAL_REVIEW,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,desinfektion gewerbe düsseldorf,0,27,0,13.81,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,unclassified,,,,unclear,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,query,geruchsbeseitigung düsseldorf,0,27,0,13.85,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,unclassified,,,,unclear,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,query,angebote schreiben reinigungsfirma,0,27,0,47.7,MANUAL_REVIEW,cleaning-offer,reinigungsangebot,,/reinigungsfirma-angebot,probable,Review /reinigungsfirma-angebot manually against the separate query and page aggregates.
28d,query,reinigung von lüftungsanlagen düsseldorf,0,26,0,6.46,CTR_OPPORTUNITY|POSITION_4_TO_10,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,Test one concise title or description variant and measure for at least 28 days.
28d,query,umzug neustadt an der waldnaab,0,26,0,6.96,CTR_OPPORTUNITY|POSITION_4_TO_10,unclassified,,,,unclear,Test one concise title or description variant and measure for at least 28 days.
28d,query,desinfektion für privat und gewerbe düsseldorf,0,26,0,15.42,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,unclassified,,,,unclear,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,query,reinigungsfirma düsseldorf privathaushalt,0,26,0,23.35,MANUAL_REVIEW,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,Review /duesseldorf/reinigung manually against the separate query and page aggregates.
28d,query,wie schreibt man ein angebot fur reinigung,0,26,0,37.19,MANUAL_REVIEW,cleaning-offer,reinigungsangebot,,/reinigungsfirma-angebot,probable,Review /reinigungsfirma-angebot manually against the separate query and page aggregates.
28d,query,putzdienst regensburg,0,26,0,41.69,MANUAL_REVIEW,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,putzfirma regensburg,0,26,0,48.38,MANUAL_REVIEW,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,reinigung regensburg,0,26,0,60.58,MANUAL_REVIEW,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,diskreter service,0,25,0,6.24,CTR_OPPORTUNITY|POSITION_4_TO_10,unclassified,,,,unclear,Test one concise title or description variant and measure for at least 28 days.
28d,query,gewerbeobjekt reinigung,0,25,0,17.28,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,unclassified,,,,unclear,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,query,umzug erding kosten,0,25,0,17.96,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,unclassified,,,,unclear,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,query,praxis entrümpelung nürnberg,0,25,0,38,OFF_TOPIC_VISIBILITY,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,angebotsschreiben reinigung,0,25,0,48.2,MANUAL_REVIEW,cleaning-offer,reinigungsangebot,,/reinigungsfirma-angebot,probable,Review /reinigungsfirma-angebot manually against the separate query and page aggregates.
28d,query,angebot reinigungsfirma muster,0,25,0,48.84,MANUAL_REVIEW,cleaning-offer,reinigungsangebot,,/reinigungsfirma-angebot,probable,Review /reinigungsfirma-angebot manually against the separate query and page aggregates.
28d,query,professionelle praxisreinigung düsseldorf,0,24,0,1.67,CTR_OPPORTUNITY,duesseldorf-practice-cleaning,praxisreinigung,duesseldorf,/duesseldorf/praxisreinigung,probable,Test one concise title or description variant and measure for at least 28 days.
28d,query,cleaning service düsseldorf,0,24,0,12.12,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,unclassified,,,,unclear,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,query,umzug im alter nürnberg,0,24,0,27.29,OFF_TOPIC_VISIBILITY,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,wie schreibt man ein angebot für reinigung,0,24,0,37.54,MANUAL_REVIEW,cleaning-offer,reinigungsangebot,,/reinigungsfirma-angebot,probable,Review /reinigungsfirma-angebot manually against the separate query and page aggregates.
28d,query,fachkundige umzugshelfer in regensburg,0,24,0,49.33,CANNIBALIZATION_RISK,regensburg-move,umzug,regensburg,/regensburg/umzug,probable,"Review historical alias, redirect, canonical, sitemap and internal links; do not infer query-to-URL proof."
28d,query,floxant,0,23,0,1.61,CTR_OPPORTUNITY,unclassified,,,,unclear,Test one concise title or description variant and measure for at least 28 days.
28d,query,umzugsreinigung,0,23,0,9.22,CTR_OPPORTUNITY|POSITION_4_TO_10,unclassified,,,,unclear,Test one concise title or description variant and measure for at least 28 days.
28d,query,musterangebote für reinigung,0,23,0,44.61,MANUAL_REVIEW,cleaning-offer,reinigungsangebot,,/reinigungsfirma-angebot,probable,Review /reinigungsfirma-angebot manually against the separate query and page aggregates.
28d,query,reinigungsfirma düsseldorf,0,23,0,62.65,MANUAL_REVIEW,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,Review /duesseldorf/reinigung manually against the separate query and page aggregates.
28d,query,entrümpelung landshut,0,23,0,68.61,OFF_TOPIC_VISIBILITY,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,hausmeisterdienst düsseldorf,0,22,0,6.09,CTR_OPPORTUNITY|POSITION_4_TO_10,unclassified,,,,unclear,Test one concise title or description variant and measure for at least 28 days.
28d,query,grundreinigung duesseldorf,0,22,0,9.32,CTR_OPPORTUNITY|POSITION_4_TO_10,duesseldorf-deep-cleaning,grundreinigung,duesseldorf,/duesseldorf/grundreinigung,probable,Test one concise title or description variant and measure for at least 28 days.
28d,query,reinigung nach entrümpelung landshut,0,22,0,10.91,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY|OFF_TOPIC_VISIBILITY,unclassified,,,,unclear,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,query,desinfektion büro düsseldorf,0,22,0,14.14,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,unclassified,,,,unclear,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,query,putzfirmen regensburg,0,22,0,36.59,MANUAL_REVIEW,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,reinigungsunternehmen regensburg,0,22,0,44.86,MANUAL_REVIEW,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,angebot reinigung muster,0,22,0,58.55,MANUAL_REVIEW,cleaning-offer,reinigungsangebot,,/reinigungsfirma-angebot,probable,Review /reinigungsfirma-angebot manually against the separate query and page aggregates.
28d,query,grundreinigung wohnung münchen,0,22,0,79.27,OFF_TOPIC_VISIBILITY,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,firmenumzug regensburg,0,22,0,85.5,CANNIBALIZATION_RISK,regensburg-move,umzug,regensburg,/regensburg/umzug,probable,"Review historical alias, redirect, canonical, sitemap and internal links; do not infer query-to-URL proof."
28d,query,entrümpelung amberg,0,22,0,86.18,MANUAL_REVIEW,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,haushaltsauflösung flensburg,0,22,0,90.77,MANUAL_REVIEW,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,bau reinigung düsseldorf,0,21,0,2,CTR_OPPORTUNITY,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,Test one concise title or description variant and measure for at least 28 days.
28d,query,seniorenumzug landshut,0,21,0,14.38,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY|OFF_TOPIC_VISIBILITY,unclassified,,,,unclear,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,query,düsseldorf reinigung,0,21,0,15.33,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,query,muster angebote für reinigung,0,21,0,66.9,MANUAL_REVIEW,cleaning-offer,reinigungsangebot,,/reinigungsfirma-angebot,probable,Review /reinigungsfirma-angebot manually against the separate query and page aggregates.
28d,query,unterhaltsreinigung,0,20,0,8.8,CTR_OPPORTUNITY|POSITION_4_TO_10,unclassified,,,,unclear,Test one concise title or description variant and measure for at least 28 days.
28d,query,grundreinigung in düsseldorf,0,20,0,9,CTR_OPPORTUNITY|POSITION_4_TO_10,duesseldorf-deep-cleaning,grundreinigung,duesseldorf,/duesseldorf/grundreinigung,probable,Test one concise title or description variant and measure for at least 28 days.
28d,query,düsseldorf putzfirma büro,0,20,0,15.1,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,query,top-bauendreinigung in düsseldorf und umgebung,0,20,0,15.25,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,duesseldorf-construction-cleaning,baureinigung,duesseldorf,/duesseldorf/baureinigung,probable,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,query,putzen mit abnahmegarantie,0,20,0,32.4,MANUAL_REVIEW,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,reinigung umzugsreinigung,0,20,0,36.65,MANUAL_REVIEW,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,regensburg reinigung,0,20,0,52.55,MANUAL_REVIEW,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,angebotsschreiben reinigung muster,0,20,0,64.6,MANUAL_REVIEW,cleaning-offer,reinigungsangebot,,/reinigungsfirma-angebot,probable,Review /reinigungsfirma-angebot manually against the separate query and page aggregates.
28d,query,angebot reinigungsarbeiten muster,0,20,0,68.3,MANUAL_REVIEW,cleaning-offer,reinigungsangebot,,/reinigungsfirma-angebot,probable,Review /reinigungsfirma-angebot manually against the separate query and page aggregates.
28d,query,reinigungsdienst in der nähe,0,19,0,1.47,MANUAL_REVIEW,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,fensterreinigung in der nähe,0,19,0,2.79,MANUAL_REVIEW,unclassified,,,,unclear,Manual review; no automatic route or content decision.
28d,query,maschinenreinigung düsseldorf,0,19,0,7.21,POSITION_4_TO_10,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,Review /duesseldorf/reinigung manually against the separate query and page aggregates.
28d,query,entrümpelung und reinigung,0,19,0,10.11,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,unclassified,,,,unclear,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
