aggregateType,sourceFile,sourceRow,label,clicks,impressions,ctrPercent,position,calculatorType,calculatorSignal,candidateCalculatorRoute,priority,classifications,relationStatus,relationBasis,recommendedAction
QUERY,Suchanfragen.csv,394,umzug erding festpreis,0,3,0,17.33,moving,BROAD_COST_OR_PRICE,/umzug-kosten-rechner,P2,NEW_OR_LOW_DATA|MANUAL_REVIEW,MANUAL_REVIEW,"Nur breite Kosten-/Preisabsicht; Rechner-, Ratgeber- oder Leistungsintention muss manuell unterschieden werden.",Mehr Daten sammeln; keine Routing- oder Redirect-Entscheidung treffen.
QUERY,Suchanfragen.csv,424,wohnungsauflösung todesfall kosten,0,3,0,95.33,disposal,BROAD_COST_OR_PRICE,/entsorgung-kosten-rechner,P2,NEW_OR_LOW_DATA|MANUAL_REVIEW,MANUAL_REVIEW,"Nur breite Kosten-/Preisabsicht; Rechner-, Ratgeber- oder Leistungsintention muss manuell unterschieden werden.",Mehr Daten sammeln; keine Routing- oder Redirect-Entscheidung treffen.
QUERY,Suchanfragen.csv,427,kosten wohnungsauflösung nach tod,0,3,0,99,disposal,BROAD_COST_OR_PRICE,/entsorgung-kosten-rechner,P2,NEW_OR_LOW_DATA|MANUAL_REVIEW,MANUAL_REVIEW,"Nur breite Kosten-/Preisabsicht; Rechner-, Ratgeber- oder Leistungsintention muss manuell unterschieden werden.",Mehr Daten sammeln; keine Routing- oder Redirect-Entscheidung treffen.
QUERY,Suchanfragen.csv,493,preise umzugsreinigung,0,2,0,29.5,cleaning,BROAD_COST_OR_PRICE,/reinigung-preis-rechner,P2,NEW_OR_LOW_DATA|MANUAL_REVIEW,MANUAL_REVIEW,"Nur breite Kosten-/Preisabsicht; Rechner-, Ratgeber- oder Leistungsintention muss manuell unterschieden werden.",Mehr Daten sammeln; keine Routing- oder Redirect-Entscheidung treffen.
QUERY,Suchanfragen.csv,500,umzugspreisvergleich regensburg,0,2,0,37,moving,BROAD_COST_OR_PRICE,/umzug-kosten-rechner,P1,NEW_OR_LOW_DATA,MANUAL_REVIEW,"Nur breite Kosten-/Preisabsicht; Rechner-, Ratgeber- oder Leistungsintention muss manuell unterschieden werden.",Mehr Daten sammeln; keine Routing- oder Redirect-Entscheidung treffen.
QUERY,Suchanfragen.csv,512,umzugskosten senken,0,2,0,56,moving,BROAD_COST_OR_PRICE,/umzug-kosten-rechner,P2,NEW_OR_LOW_DATA|MANUAL_REVIEW,MANUAL_REVIEW,"Nur breite Kosten-/Preisabsicht; Rechner-, Ratgeber- oder Leistungsintention muss manuell unterschieden werden.",Mehr Daten sammeln; keine Routing- oder Redirect-Entscheidung treffen.
QUERY,Suchanfragen.csv,524,umzugskosten vergleich,0,2,0,81,moving,BROAD_COST_OR_PRICE,/umzug-kosten-rechner,P2,NEW_OR_LOW_DATA|MANUAL_REVIEW,MANUAL_REVIEW,"Nur breite Kosten-/Preisabsicht; Rechner-, Ratgeber- oder Leistungsintention muss manuell unterschieden werden.",Mehr Daten sammeln; keine Routing- oder Redirect-Entscheidung treffen.
QUERY,Suchanfragen.csv,572,büro reinigung kosten,0,1,0,3,cleaning,BROAD_COST_OR_PRICE,/reinigung-preis-rechner,P2,NEW_OR_LOW_DATA|MANUAL_REVIEW,MANUAL_REVIEW,"Nur breite Kosten-/Preisabsicht; Rechner-, Ratgeber- oder Leistungsintention muss manuell unterschieden werden.",Mehr Daten sammeln; keine Routing- oder Redirect-Entscheidung treffen.
QUERY,Suchanfragen.csv,604,preiswerte umzugsfirmen,0,1,0,7,moving,BROAD_COST_OR_PRICE,/umzug-kosten-rechner,P2,NEW_OR_LOW_DATA|MANUAL_REVIEW,MANUAL_REVIEW,"Nur breite Kosten-/Preisabsicht; Rechner-, Ratgeber- oder Leistungsintention muss manuell unterschieden werden.",Mehr Daten sammeln; keine Routing- oder Redirect-Entscheidung treffen.
QUERY,Suchanfragen.csv,623,kostengünstige reinigung,0,1,0,11,cleaning,BROAD_COST_OR_PRICE,/reinigung-preis-rechner,P2,NEW_OR_LOW_DATA|MANUAL_REVIEW,MANUAL_REVIEW,"Nur breite Kosten-/Preisabsicht; Rechner-, Ratgeber- oder Leistungsintention muss manuell unterschieden werden.",Mehr Daten sammeln; keine Routing- oder Redirect-Entscheidung treffen.
QUERY,Suchanfragen.csv,707,umzugskosten nürnberg,0,1,0,45,moving,BROAD_COST_OR_PRICE,/umzug-kosten-rechner,P2,NEW_OR_LOW_DATA|MANUAL_REVIEW,MANUAL_REVIEW,"Nur breite Kosten-/Preisabsicht; Rechner-, Ratgeber- oder Leistungsintention muss manuell unterschieden werden.",Mehr Daten sammeln; keine Routing- oder Redirect-Entscheidung treffen.
QUERY,Suchanfragen.csv,730,kosten umzugsservice,0,1,0,59,moving,BROAD_COST_OR_PRICE,/umzug-kosten-rechner,P2,NEW_OR_LOW_DATA|MANUAL_REVIEW,MANUAL_REVIEW,"Nur breite Kosten-/Preisabsicht; Rechner-, Ratgeber- oder Leistungsintention muss manuell unterschieden werden.",Mehr Daten sammeln; keine Routing- oder Redirect-Entscheidung treffen.
QUERY,Suchanfragen.csv,745,preiswerter umzugs- und reinigungsservice in bad honnef,0,1,0,77,mixed,BROAD_COST_OR_PRICE,/rechner,P2,NEW_OR_LOW_DATA|MANUAL_REVIEW,MANUAL_REVIEW,"Nur breite Kosten-/Preisabsicht; Rechner-, Ratgeber- oder Leistungsintention muss manuell unterschieden werden.",Mehr Daten sammeln; keine Routing- oder Redirect-Entscheidung treffen.
QUERY,Suchanfragen.csv,757,fernumzug kosten,0,1,0,90,moving,BROAD_COST_OR_PRICE,/umzug-kosten-rechner,P2,NEW_OR_LOW_DATA|MANUAL_REVIEW,MANUAL_REVIEW,"Nur breite Kosten-/Preisabsicht; Rechner-, Ratgeber- oder Leistungsintention muss manuell unterschieden werden.",Mehr Daten sammeln; keine Routing- oder Redirect-Entscheidung treffen.
QUERY,Suchanfragen.csv,771,umzugskosten,0,1,0,97,moving,BROAD_COST_OR_PRICE,/umzug-kosten-rechner,P2,NEW_OR_LOW_DATA|MANUAL_REVIEW,MANUAL_REVIEW,"Nur breite Kosten-/Preisabsicht; Rechner-, Ratgeber- oder Leistungsintention muss manuell unterschieden werden.",Mehr Daten sammeln; keine Routing- oder Redirect-Entscheidung treffen.
PAGE,Seiten.csv,23,/rechner,1,4,25,22.75,hub,PAGE_ROUTE,/rechner,P1,NEW_OR_LOW_DATA,MANUAL_REVIEW,Eigenständige Zeile aus dem Seitenaggregat; nicht mit Query-Zeilen verknüpft.,Mehr Daten sammeln; keine Routing- oder Redirect-Entscheidung treffen.
PAGE,Seiten.csv,298,/umzug-kosten-rechner,0,2,0,2,moving,PAGE_ROUTE,/umzug-kosten-rechner,P1,NEW_OR_LOW_DATA,MANUAL_REVIEW,Eigenständige Zeile aus dem Seitenaggregat; nicht mit Query-Zeilen verknüpft.,Mehr Daten sammeln; keine Routing- oder Redirect-Entscheidung treffen.
PAGE,Seiten.csv,308,/reinigung-preis-rechner,0,2,0,4,cleaning,PAGE_ROUTE,/reinigung-preis-rechner,P1,NEW_OR_LOW_DATA,MANUAL_REVIEW,Eigenständige Zeile aus dem Seitenaggregat; nicht mit Query-Zeilen verknüpft.,Mehr Daten sammeln; keine Routing- oder Redirect-Entscheidung treffen.
PAGE,Seiten.csv,427,/entsorgung-kosten-rechner,0,1,0,4,disposal,PAGE_ROUTE,/entsorgung-kosten-rechner,P2,NEW_OR_LOW_DATA,MANUAL_REVIEW,Eigenständige Zeile aus dem Seitenaggregat; nicht mit Query-Zeilen verknüpft.,Mehr Daten sammeln; keine Routing- oder Redirect-Entscheidung treffen.
