Route;Status;FinalURL;Title;H1;MetaDescription;VisibleSections;PrimaryCTA;Canonical;IndexStatus;SitemapStatus;InternalLinks;VisibleInternalTerms;VisibleBadUmlauts;LocationMix;Overloaded;DuplicateBlocks;PotentialCannibalization;UXIssues
/regensburg/umzug;200;https://www.floxant.de/regensburg/umzug;Umzug Regensburg anfragen - Start, Ziel und Termin klären;Umzug in Regensburg klar anfragen - mit Start, Ziel und Terminwunsch;Umzug in Regensburg geplant? Start, Ziel, Etage, Umfang und Termin beschreiben. FLOXANT prüft Anfrage oder Umzugsangebot anhand der genannten Eckdaten.;18 H2/52 Headings: erste Angaben|Details|Fotos|interne Sortierung|Umzugsarten|Ablauf|Rückfragen|Aufwand|Spezialfälle|Angebotsprüfung|Gebiet|Sicherheit|Kombis|Tools|English|Trust|FAQ;Umzug in Regensburg anfragen;https://www.floxant.de/regensburg/umzug;index,follow;ja;18;0;Haltemoeglichkeit×1|Flexibilitaet×1;0;ja: 1610 Wörter/52 Headings;1;Umzug-Intent wird durch Spezial- und Angebotscheck-Inhalte überladen;interner Ton und wiederholte Start-, Ziel- und Etagenangaben
/regensburg/entruempelung;200;https://www.floxant.de/regensburg/entruempelung;Entrümpelung Regensburg | Wohnung, Keller, Nachlass;Entrümpelung Regensburg für Wohnung, Keller, Garage und Nachlass;Entrümpelung in Regensburg mit klarer Abstimmung zu Räumen, Menge, Zugang und Termin. Anfrage mit Fotos oder Objektangaben senden.;24 H2/62 Headings: Angaben|Sprache|Fit|Räumung|Zweck|Leistungen|Kombis|Angebot|Spezialservices|Signature|Trust|Details|Fotos|Beispiele|Standort|Tools|FAQ|verwandte Leistungen;Entrümpelung anfragen;https://www.floxant.de/regensburg/entruempelung;index,follow;ja;34;Proof×3;Kellerentruempelung×1;Düsseldorf×2;ja: 1919 Wörter/62 Headings;17 geteilte Langblock-Gruppen;sehr starker Overlap mit Wohnungsauflösung;zu viele fremde Leistungs-, Trust- und Signature-Blöcke
/regensburg/wohnungsaufloesung;200;https://www.floxant.de/regensburg/wohnungsaufloesung;Wohnungsauflösung Regensburg | Nachlass ruhig klären;Wohnungsauflösung Regensburg bei Nachlass, Auszug und Übergabe;Wohnungsauflösung Regensburg bei Nachlass, Auszug oder Pflegeheimwechsel: Fotos, Freigabe, Räume, Zielzustand und Übergabe ruhig klären.;24 H2/62 Headings: nahezu gleiche Struktur wie Entrümpelung;Wohnungsauflösung anfragen;https://www.floxant.de/regensburg/wohnungsaufloesung;index,follow;ja;26;Proof×3;0;Düsseldorf×2;ja: 1869 Wörter/62 Headings;17 geteilte Langblock-Gruppen;nahezu Template-Duplikat von Entrümpelung;unpassende Solar-, PV-, Glas- und Fassadenblöcke sowie Entrümpelungs-Fotoüberschrift
/klaviertransport-regensburg;200;https://www.floxant.de/klaviertransport-regensburg;Klaviertransport Regensburg mit Etage und Zugang klären;Klaviertransport in Regensburg anfragen - Etage, Zugang und Termin klären.;Klaviertransport Regensburg vorbereiten: Instrument, Etage, Aufzug, Treppenhaus, Strecke, Haltemoeglichkeit, Fotos und Termin klären.;15 H2/46 Headings: Planung|Details|Fotos|Fragen vor Preis|Angaben|Lokal|Abgrenzung|7 Schritte|Transportarten|Fallcheck|Trust|Leistungen|English|FAQ;Klaviertransport anfragen;https://www.floxant.de/klaviertransport-regensburg;index,follow;ja;12;Proof×1;Flexibilitaet×1 sichtbar|Haltemoeglichkeit×1 in Meta;0;ja: 1614 Wörter/46 Headings;3;Gewinnerseite mit eigenem Intent, aber allgemeine Regensburg-Blöcke;keine Versicherungsbegriffe, jedoch interner Ton und 7-Schritt-Überlänge
/kontakt;200;https://www.floxant.de/kontakt;Leistung unverbindlich anfragen | FLOXANT;Leistung unverbindlich anfragen;Wählen Sie Standort und Leistung und senden Sie die wichtigsten Eckdaten direkt an FLOXANT.;2 H2/3 Headings: Standort und Leistung|direkter Kontakt;Anderer Ort – Einsatzgebiet unverbindlich prüfen;https://www.floxant.de/kontakt;index,follow;ja;1;0;0;0;nein: 120 Wörter/3 Headings;0;keine;kurzer verständlicher Formulareinstieg, dynamische Folgeschritte im Browser zu prüfen
/leistungen;200;https://www.floxant.de/leistungen;FLOXANT Leistungen: Reinigung, Umzug und mehr anfragen;Reinigung, Umzug, Räumung und weitere FLOXANT-Leistungen.;Wählen Sie Region und Aufgabe: Reinigung, Umzug, Räumung, Angebotsprüfung oder diskrete Hilfe direkt anfragen.;21 H2/170 Headings: Standorte|Hauptleistungen|Entscheidungshilfe|Zusatzhilfe|Situation|Pakete|Finder|Signature|Problemstart|Angebotsprüfung|Trust/Proof|Ablauf|Beispiele|Vollkatalog|Abschluss;Angebot prüfen lassen;https://www.floxant.de/leistungen;index,follow;ja;101;Signature-Pakete×1|Proof×3|Proof-Inputs×1;36 sichtbar, darunter pruefen×16|klaeren×6|Uebergabe×3|naechste|Raeumung|fuer|Aenderungen|Sonderfaelle;0;ja: 4763 Wörter/170 Headings;9 geteilte Langblock-Gruppen;Leistungsübersicht kopiert Hub- und Servicekataloge;massive Linkwand, interne Paket-/Proof-Sprache und falsche Umlaute
/fragen;404;https://www.floxant.de/fragen;FLOXANT | Umzug, Reinigung & Entrümpelung in Regensburg;Diese Seite ist nicht mehr an der erwarteten Stelle.;Regensburg-404-Meta;keine;FLOXANT Einfach anfragen;https://www.floxant.de/;noindex;nein;8;0;koennen|Leistungsuebersicht|pruefen|Duesseldorf;0;nein: 59 Wörter/1 Heading;1 mit Ads-404;fehlender FAQ-Intent und geteilter 404-Title/H1;Pflichtseite fehlt
/rechner;200;https://www.floxant.de/rechner;FLOXANT Kostenrechner | Preisrahmen prüfen;Preisrahmen für Regensburg und Bayern sauber einschätzen;Preisrahmen für Umzug, Reinigung, Entrümpelung, Entsorgung oder Büroumzug einschätzen: Service wählen, Ort, Zugang, Fotos und Budget senden.;25 H2/102 Headings: vier Rechner|Erklärung|3-Schritt-Pfad|Budget|Region|Servicepfade|Ratgeber|Ortslisten|FAQ;Passenden Rechner starten;https://www.floxant.de/rechner;index,follow;ja;204;0;Suedstadt×3|Moegeldorf×3|Entruempelung×1|ueber×1;0;ja: 3113 Wörter/102 Headings;0;Hub und Ortsseiten-Linkfarm statt knapper Rechnerauswahl;204 interne Links und extreme Text-/Ortslisten-Überladung
/umzug-kosten-rechner;200;https://www.floxant.de/umzug-kosten-rechner;Umzugskosten berechnen 2026 | FLOXANT Rechner;Was kostet Ihr Umzug?;Berechnen Sie sofort Ihre Umzugskosten...;3 H2/8 Headings: Online-Rechner|Leistungswahl|Berechnung;kein klarer serverseitiger CTA;https://www.floxant.de/;index,follow;nein;0;0;0;0;nein: 194 Wörter/8 Headings;0;Home-Canonical statt Selbstcanonical;Meta verspricht sofortige Kosten, Ergebnislogik und Preisfreigabe fraglich
/reinigung-preis-rechner;200;https://www.floxant.de/reinigung-preis-rechner;Reinigungskosten berechnen | FLOXANT;Was kostet Ihre Reinigung?;Berechnen Sie sofort Ihre Reinigungskosten...;3 H2/8 Headings: Online-Rechner|Leistungswahl|Berechnung;kein klarer serverseitiger CTA;https://www.floxant.de/;index,follow;nein;0;0;0;0;nein: 163 Wörter/8 Headings;0;Home-Canonical statt Selbstcanonical;Meta verspricht sofortige Kosten, Ergebnislogik und Preisfreigabe fraglich
/duesseldorf/reinigung/anfrage;404;https://www.floxant.de/duesseldorf/reinigung/anfrage;FLOXANT | Umzug, Reinigung & Entrümpelung in Regensburg;Diese Seite ist nicht mehr an der erwarteten Stelle.;Regensburg-404-Meta;keine;FLOXANT Einfach anfragen;https://www.floxant.de/;noindex;nein;8;0;koennen|Leistungsuebersicht|pruefen|Duesseldorf;Regensburg×1;nein: 59 Wörter/1 Heading;1 mit anderen 404s;fehlender Ads-Intent und geteilter 404-Title/H1;Düsseldorf-Anzeigenziel fehlt und zeigt Regensburg-Metadaten
/umzug-regensburg/anfrage;404;https://www.floxant.de/umzug-regensburg/anfrage;FLOXANT | Umzug, Reinigung & Entrümpelung in Regensburg;Diese Seite ist nicht mehr an der erwarteten Stelle.;Regensburg-404-Meta;keine;FLOXANT Einfach anfragen;https://www.floxant.de/;noindex;nein;8;0;koennen|Leistungsuebersicht|pruefen|Duesseldorf;Düsseldorf/Duesseldorf×1;nein: 59 Wörter/1 Heading;1 mit anderen 404s;fehlender Ads-Intent und geteilter 404-Title/H1;Regensburg-Anzeigenziel fehlt
/dashboard/login;200;https://www.floxant.de/dashboard/login;Dashboard-Anmeldung | FLOXANT;Anfragen sicher im Blick behalten.;Geschützter interner Bereich für FLOXANT-Anfragen.;1 H2/2 Headings: Anmelden;Login-Submit clientseitig;kein Canonical;noindex,nofollow,nocache;nein;0;0;0;0;nein: 42 Wörter/2 Headings;0;keine öffentliche Kannibalisierung;knapper geschützter Login
