period,type,label,clicks,impressions,ctr,position,classes,cluster,service,city,suggestedPrimaryRoute,relationStatus,action
28d,page,/blog/gewerbereinigung-angebot-vergleichen,0,87,0,36.98,WEAK_SERVICE_PAGE,cleaning-offer,reinigungsangebot,,/reinigungsfirma-angebot,manual_review,"Align H1, visible answer, scope, required details and related links with the page task."
28d,page,/entruempelung-landshut,0,77,0,52.47,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/seniorenumzug-nuernberg,0,74,0,19.15,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,unclassified,,,,not_applicable,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,page,/reinigung-landshut,0,73,0,52.64,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/ru/blog/wohnungsaufloesung-was-tun,0,64,0,87.3,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/studentenumzug-erding,0,63,0,15.22,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,unclassified,,,,not_applicable,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,page,/umzugskosten-bayern,0,61,0,46.31,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/klaviertransport-regensburg,1,60,1.67,8.05,PROTECT_WINNER|POSITION_4_TO_10,regensburg-piano-transport,klaviertransport,regensburg,/klaviertransport-regensburg,not_applicable,Protect URL and primary signals; use one measured snippet or internal-link improvement.
28d,page,/en,0,60,0,21.87,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/blog/praxisentruempelung-nuernberg-richtig-anfragen,0,59,0,20.85,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/reinigung,0,59,0,40.61,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/duesseldorf/geruchsneutralisation,0,58,0,3.5,CTR_OPPORTUNITY,unclassified,,,,not_applicable,Test one concise title or description variant and measure for at least 28 days.
28d,page,/blog/grundreinigung-duesseldorf-angebot-kosten-pruefen,1,58,1.72,20.02,WEAK_SERVICE_PAGE,duesseldorf-deep-cleaning,grundreinigung,duesseldorf,/duesseldorf/grundreinigung,manual_review,"Align H1, visible answer, scope, required details and related links with the page task."
28d,page,/regensburg/wohnungsaufloesung,0,54,0,36.33,WEAK_SERVICE_PAGE,regensburg-household-clearance,wohnungsaufloesung,regensburg,/regensburg/wohnungsaufloesung,not_applicable,"Align H1, visible answer, scope, required details and related links with the page task."
28d,page,/kontakt,0,53,0,25.89,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/anbieter-vergleichen,0,52,0,9.48,CTR_OPPORTUNITY|POSITION_4_TO_10,unclassified,,,,not_applicable,Test one concise title or description variant and measure for at least 28 days.
28d,page,/blog/umzug-im-alter-erlangen-bamberg-fuerth,0,51,0,4.43,CTR_OPPORTUNITY|POSITION_4_TO_10,unclassified,,,,not_applicable,Test one concise title or description variant and measure for at least 28 days.
28d,page,/regensburg/bueroreinigung,0,51,0,24.22,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/duesseldorf/hausverwaltung-reinigung,0,50,0,20.82,WEAK_SERVICE_PAGE,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,manual_review,"Align H1, visible answer, scope, required details and related links with the page task."
28d,page,/seniorenumzug-fuerth,0,49,0,7.88,CTR_OPPORTUNITY|POSITION_4_TO_10,unclassified,,,,not_applicable,Test one concise title or description variant and measure for at least 28 days.
28d,page,/fernumzug-muenchen,0,47,0,10.3,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,unclassified,,,,not_applicable,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,page,/umzug-vohenstrauss,0,45,0,15.09,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,unclassified,,,,not_applicable,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,page,/entruempelung-nuernberg,0,42,0,54.29,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/blog/pauschalpreis-oder-aufwand-angebot-pruefen,2,40,5,7.5,POSITION_4_TO_10,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/leerfahrt-rueckfahrt,0,40,0,31.02,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/private-client-service,1,37,2.7,6.62,POSITION_4_TO_10,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/umzug-neustadt-an-der-waldnaab,0,37,0,9.14,CTR_OPPORTUNITY|POSITION_4_TO_10,unclassified,,,,not_applicable,Test one concise title or description variant and measure for at least 28 days.
28d,page,/regensburg,0,37,0,9.41,CTR_OPPORTUNITY|POSITION_4_TO_10,unclassified,,,,not_applicable,Test one concise title or description variant and measure for at least 28 days.
28d,page,/seniorenumzug-erlangen,0,35,0,9.97,CTR_OPPORTUNITY|POSITION_4_TO_10,unclassified,,,,not_applicable,Test one concise title or description variant and measure for at least 28 days.
28d,page,/objektbrief,0,33,0,56.12,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/angebot-guenstiger-pruefen,0,32,0,27.31,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/ratgeber/reinigung-nach-umzug,0,29,0,33.1,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/duesseldorf/fensterreinigung,0,26,0,69.15,WEAK_SERVICE_PAGE,duesseldorf-window-cleaning,fensterreinigung,duesseldorf,/duesseldorf/fensterreinigung,not_applicable,"Align H1, visible answer, scope, required details and related links with the page task."
28d,page,/klaviertransport-nuernberg,0,25,0,13,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,unclassified,,,,not_applicable,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,page,/blog,0,25,0,45.6,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/pl/umzug-ingolstadt,0,25,0,64.32,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/duesseldorf/entruempelung,0,23,0,13.04,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,unclassified,,,,not_applicable,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,page,/blog/treppenhausreinigungen-duesseldorf-hauseingang-hausverwaltung,0,23,0,20.09,WEAK_SERVICE_PAGE,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,manual_review,"Align H1, visible answer, scope, required details and related links with the page task."
28d,page,/buchung,0,22,0,9.05,CTR_OPPORTUNITY|POSITION_4_TO_10,unclassified,,,,not_applicable,Test one concise title or description variant and measure for at least 28 days.
28d,page,/bg/entruempelung-amberg,0,22,0,86.18,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/studentenumzug-traunstein,0,21,0,8.48,CTR_OPPORTUNITY|POSITION_4_TO_10,unclassified,,,,not_applicable,Test one concise title or description variant and measure for at least 28 days.
28d,page,/seniorenumzug-bamberg,0,21,0,11.05,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,unclassified,,,,not_applicable,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,page,/regensburg/gewerbereinigung,0,21,0,47.52,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/koeln/reinigung,0,21,0,53.48,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/landshut/umzug,0,19,0,15.53,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,unclassified,,,,not_applicable,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,page,/rechner,0,19,0,61.11,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/blog/angebot-wirkt-zu-teuer-welche-fragen-stellen,0,18,0,7.11,POSITION_4_TO_10,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/plan-b-service,0,18,0,7.28,POSITION_4_TO_10,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/duisburg/reinigung,0,18,0,44.72,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/diskret-service,0,17,0,7.76,POSITION_4_TO_10,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/duesseldorf/krankenhausreinigung,0,17,0,40.71,MANUAL_REVIEW,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,manual_review,Review /duesseldorf/reinigung manually against the separate query and page aggregates.
28d,page,/moenchengladbach/reinigung,0,17,0,53.47,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/angebot-pruefen,0,17,0,67.29,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/en/duesseldorf/apartment-cleaning,0,16,0,40.62,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/de/umzug-bayern,0,16,0,42.12,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/angebotscheck,0,15,0,4.8,POSITION_4_TO_10,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/blog/angebot-pruefen-lassen-wann-floxant-sinnvoll-ist,0,15,0,13.4,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,unclassified,,,,not_applicable,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,page,/duesseldorf/reinigung-stadtteile-umgebung,0,15,0,20.53,MANUAL_REVIEW,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,manual_review,Review /duesseldorf/reinigung manually against the separate query and page aggregates.
28d,page,/business-errand-service,0,15,0,25.67,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/blog/reinigungsfirma-duesseldorf-preise-kosten-angebot-pruefen,0,14,0,10.71,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,manual_review,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,page,/pv-anlagen-reinigung,0,14,0,59.93,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/makler-vermieter-link,0,14,0,64.29,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/reinigung-nuernberg,0,12,0,29,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/service-area-bayern,0,12,0,40.5,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/neuss/reinigung,0,12,0,56.92,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/seniorenumzug-erding,0,11,0,4,POSITION_4_TO_10,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/blog/uebergabe-check-vor-vermietertermin,0,11,0,6.27,POSITION_4_TO_10,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/blog/anbieter-hat-abgesagt-was-tun,0,11,0,6.82,POSITION_4_TO_10,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/wohnungsaufloesung-eschenbach-in-der-oberpfalz,1,11,9.09,8.27,POSITION_4_TO_10,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/blog/reinigung-checkliste-uebergabe,0,11,0,9.09,POSITION_4_TO_10,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/ja/umzug-bayern,0,11,0,57,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/umzug-nuernberg,0,11,0,66.64,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/ratgeber/umzug-kosten-regensburg,0,10,0,15.8,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,regensburg-move,umzug,regensburg,/regensburg/umzug,manual_review,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,page,/reinigung-koenigsbrunn,0,10,0,24.3,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/umzug-muenchen-bogenhausen,0,10,0,37.7,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/solarreinigung,0,10,0,49.2,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/reinigung-fuerstenfeldbruck,0,10,0,61.2,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/blog/grundreinigung-bodenreinigung-hauseingang-duesseldorf,0,6,0,4.83,PROTECT_WINNER,duesseldorf-deep-cleaning,grundreinigung,duesseldorf,/duesseldorf/grundreinigung,manual_review,Protect URL and primary signals; use one measured snippet or internal-link improvement.
28d,page,/duesseldorf/grundreinigung,0,3,0,10.67,PROTECT_WINNER,duesseldorf-deep-cleaning,grundreinigung,duesseldorf,/duesseldorf/grundreinigung,not_applicable,Protect URL and primary signals; use one measured snippet or internal-link improvement.
28d,page,/blog/klaviertransport-regensburg-vor-anfrage,0,1,0,4,PROTECT_WINNER,regensburg-piano-transport,klaviertransport,regensburg,/klaviertransport-regensburg,manual_review,Protect URL and primary signals; use one measured snippet or internal-link improvement.
