query,clicks,impressions,ctr,position,language,intent,brandQuery,sourceCount
reinigungsangebot,0,14,0.000000,36.14,de,transactional,false,1
düsseldorf reinigungsfirma büro,0,14,0.000000,36.57,de,transactional,false,1
gebäudereinigung düsseldorf düsseltal,0,14,0.000000,36.79,de,commercial,false,1
reinigung gewerbeflächen düsseldorf,0,14,0.000000,42.29,de,commercial,false,1
umzug in münchen,0,14,0.000000,47.36,de,commercial,false,1
reinigung offerte schreiben,0,14,0.000000,53.79,de,commercial,false,1
leerfahrten,0,14,0.000000,55.50,de,unknown,false,1
gebäudereinigungsfirma düsseldorf,0,13,0.000000,9.77,de,transactional,false,1
reinigung von lüftungsanlagen düsseldorf,0,13,0.000000,10.85,de,commercial,false,1
grundreinigung,0,13,0.000000,12.62,de,commercial,false,1
schulreinigung düsseldorf,0,13,0.000000,20.62,de,commercial,false,1
büroumzug münchen,0,13,0.000000,42.08,de,commercial,false,1
kompetente büroreiniger in düsseldorf,0,13,0.000000,48.54,de,unknown,false,1
entrümpelungen neutraubling,0,13,0.000000,72.23,de,commercial,false,1
zimmer räumen roth,0,12,0.000000,5.75,de,unknown,false,1
treppenreinigung,0,12,0.000000,7.50,de,commercial,false,1
reinigung,0,12,0.000000,8.50,de,commercial,false,1
umzug erding preise,0,12,0.000000,11.67,de,transactional,false,1
desinfektion wohnung düsseldorf,0,12,0.000000,14.00,de,unknown,false,1
reinigungsbetrieb,0,12,0.000000,16.42,de,commercial,false,1
umzug erding kosten,0,12,0.000000,18.58,de,transactional,false,1
düsseldorf putzfirma büro,0,12,0.000000,18.67,de,transactional,false,1
desinfektion wohnung nach krankheit düsseldorf,0,12,0.000000,19.75,de,unknown,false,1
garagenauflösung nürnberg,0,12,0.000000,22.17,de,unknown,false,1
krankenhausreinigung düsseldorf,0,12,0.000000,27.08,de,commercial,false,1
innenputz kosten schwandorf,0,12,0.000000,27.25,de,transactional,false,1
bürogebäude reinigung,0,12,0.000000,28.33,de,commercial,false,1
geruchsbeseitigung düsseldorf,0,12,0.000000,34.42,de,unknown,false,1
gebäudereinigung düsseldorf heerdt,0,12,0.000000,36.33,de,commercial,false,1
sonderreinigung düsseldorf,0,12,0.000000,45.33,de,commercial,false,1
büro reinigungsfirma düsseldorf,0,12,0.000000,46.67,de,transactional,false,1
beste reinigung für senioren in bamberg und umgebung,0,12,0.000000,50.67,de,commercial,false,1
putzservice münchen schnell,0,12,0.000000,59.17,de,transactional,false,1
wohnungsauflösung flensburg,0,12,0.000000,67.75,de,unknown,false,1
firmenumzug regensburg,0,12,0.000000,69.42,de,commercial,false,1
büroumzug nürnberg,0,12,0.000000,74.92,de,commercial,false,1
umzugskosten pauschal schriesheim,0,12,0.000000,81.92,de,transactional,false,1
verkaufsflächen reinigen,0,12,0.000000,94.00,de,unknown,false,1
umzug in der nähe,0,11,0.000000,11.82,de,commercial,false,1
grundreinigung in düsseldorf,0,11,0.000000,12.36,de,commercial,false,1
cleaner dusseldorf,0,11,0.000000,14.00,de,unknown,false,1
reinigungsdienste düsseldorf,0,11,0.000000,14.45,de,commercial,false,1
düsseldorf reinigungsdienst büro,0,11,0.000000,17.45,de,commercial,false,1
umzug planen lassen regensburg,0,11,0.000000,19.64,de,commercial,false,1
komplettumzüge münchen,0,11,0.000000,21.45,de,commercial,false,1
apartment düsseldorf mit wöchentlicher reinigung,0,11,0.000000,22.64,de,commercial,false,1
"professionelle umzüge und entrümpelungen in regensburg, deutschland und europaweit",0,11,0.000000,24.09,de,commercial,false,1
gewerbeflächen reinigung,0,11,0.000000,25.36,de,commercial,false,1
umziehen friedberg,0,11,0.000000,28.64,de,unknown,false,1
innenputz kosten sulzbach-rosenberg,0,11,0.000000,31.82,de,transactional,false,1
reinigung sanitäranlagen düsseldorf,0,11,0.000000,33.00,de,commercial,false,1
umziehen forchheim,0,11,0.000000,33.64,de,unknown,false,1
regelmäßige reinigungsdienste für gewerbeflächen in germersheim und umkreis,0,11,0.000000,40.00,de,commercial,false,1
privatumzug nürnberg,0,11,0.000000,50.18,de,commercial,false,1
household clearance münchen,0,11,0.000000,67.82,en,commercial,false,1
umzug erding festpreis,0,10,0.000000,13.90,de,transactional,false,1
umzug münchen festpreis,0,10,0.000000,17.30,de,transactional,false,1
düsseldorf reinigung,0,10,0.000000,18.00,de,commercial,false,1
desinfektion haus düsseldorf,0,10,0.000000,19.00,de,unknown,false,1
hygienereinigung düsseldorf,0,10,0.000000,24.20,de,commercial,false,1
putzdienst düsseldorf,0,10,0.000000,26.40,de,unknown,false,1
umzüge neutraubling,0,10,0.000000,27.00,de,commercial,false,1
umzugsfirma regensburg,1,10,0.100000,35.00,de,transactional,false,1
umzug-muenchen,0,10,0.000000,47.50,de,commercial,false,1
fernumzug,0,10,0.000000,50.80,de,commercial,false,1
preiswerter umzugs- und reinigungsservice in bad honnef,0,10,0.000000,56.70,de,transactional,false,1
umzug mit ab- und aufbau regensburg,0,10,0.000000,58.10,de,commercial,false,1
umzug münchen preise,0,10,0.000000,85.80,de,transactional,false,1
entrümpelungen flensburg,0,10,0.000000,92.50,de,commercial,false,1
household clearance nürnberg,0,10,0.000000,97.10,en,commercial,false,1
umzug flensburg,0,10,0.000000,99.10,de,commercial,false,1
firmenumzug rosenheim,0,9,0.000000,11.89,de,commercial,false,1
b2b reinigung,0,9,0.000000,16.00,de,commercial,false,1
commercial cleaning,0,9,0.000000,16.33,en,commercial,false,1
angebot für reinigungsarbeiten,0,9,0.000000,17.56,de,transactional,false,1
umzugsunternehmen regensburg kosten,0,9,0.000000,20.67,de,transactional,false,1
gebäudereinigung düsseldorf pempelfort,0,9,0.000000,24.00,de,commercial,false,1
umzug planen regensburg,0,9,0.000000,30.89,de,commercial,false,1
"bestes umzugsunternehmen in konstanz, regensburg",0,9,0.000000,31.33,de,transactional,false,1
wohnung putzen münchen,0,9,0.000000,33.33,de,unknown,false,1
reinigungsfirma düsseldorf privathaushalt,0,9,0.000000,34.33,de,transactional,false,1
werbeflächenreinigung,0,9,0.000000,40.11,de,commercial,false,1
reinigungsfirma regensburg privathaushalt,0,9,0.000000,42.89,de,transactional,false,1
umzug pauschalpreis,0,9,0.000000,46.00,de,transactional,false,1
mülltonnenreinigung münchen,0,9,0.000000,53.00,de,commercial,false,1
wohnungsauflösung oberpfalz,0,9,0.000000,63.89,de,unknown,false,1
hochwertige umzüge bayern,0,9,0.000000,65.89,de,commercial,false,1
unterhaltsreiniger düsseldorf,0,9,0.000000,69.56,de,unknown,false,1
umzugsunternehmen münchen preise,0,9,0.000000,85.11,de,transactional,false,1
entrümpelung flensburg,0,9,0.000000,87.56,de,commercial,false,1
küchenentsorgung landshut,0,8,0.000000,1.62,de,unknown,false,1
24 stunden reinigung düsseldorf,0,8,0.000000,2.50,de,commercial,false,1
reinigung hauseingang düsseldorf,0,8,0.000000,8.75,de,commercial,false,1
endreinigung düsseldorf,0,8,0.000000,9.88,de,commercial,false,1
beschlussreinigung düsseldorf,0,8,0.000000,11.12,de,commercial,false,1
lackiertechnologien kosten anbieter,0,8,0.000000,12.00,de,transactional,false,1
reinigungsdienst büro düsseldorf,0,8,0.000000,13.12,de,commercial,false,1
reinigungsmittel düsseldorf,0,8,0.000000,13.38,de,commercial,false,1
umzug grafing,0,8,0.000000,15.00,de,commercial,false,1
räumung landshut,0,8,0.000000,15.62,de,commercial,false,1
reinigungen düsseldorf,0,8,0.000000,17.00,de,commercial,false,1
ladenreinigung düsseldorf,0,8,0.000000,17.25,de,commercial,false,1
zuverlässiges reinigungsunternehmen in düsseldorf und umgebung,0,8,0.000000,18.00,de,commercial,false,1
putzfirma büro düsseldorf,0,8,0.000000,23.38,de,transactional,false,1
günstige montageleistungen in düsseldorf,0,8,0.000000,46.75,de,unknown,false,1
büroreinigung reinigungsfirma düsseldorf,0,8,0.000000,49.38,de,transactional,false,1
reinigungsservice düsseldorf privathaushalt,0,8,0.000000,54.88,de,transactional,false,1
entrümpelung landshut,0,8,0.000000,67.88,de,commercial,false,1
wohnungsräumung landshut,0,8,0.000000,68.88,de,commercial,false,1
klavierentsorgung pirna,0,8,0.000000,72.38,de,unknown,false,1
entrümpler regensburg,0,8,0.000000,78.25,de,unknown,false,1
zügige umzugsreinigung für privatkunden in münchen,0,8,0.000000,81.50,de,commercial,false,1
gewerbeflächenreinigung,0,7,0.000000,9.00,de,commercial,false,1
umzug burglengenfeld,0,7,0.000000,10.57,de,commercial,false,1
entrümpelung neustadt an der donau,0,7,0.000000,12.86,de,commercial,false,1
umzug günstig,0,7,0.000000,16.29,de,commercial,false,1
praxisauflösung düsseldorf,0,7,0.000000,21.29,de,unknown,false,1
günstiger umzug thalkirchen,0,7,0.000000,24.71,de,commercial,false,1
umzüge münchen günstig,0,7,0.000000,32.00,de,commercial,false,1
umzug günstig münchen,0,7,0.000000,32.86,de,commercial,false,1
umzug organisieren münchen,0,7,0.000000,33.43,de,commercial,false,1
billige transporte,0,7,0.000000,36.00,de,unknown,false,1
erledigungsservice,0,7,0.000000,36.43,de,transactional,false,1
umzugsunternehmen mit aufbauservice regensburg,0,7,0.000000,37.00,de,transactional,false,1
haushaltsauflösung regensburg,0,7,0.000000,42.29,de,unknown,false,1
umzüge für privat münchen,0,7,0.000000,43.86,de,commercial,false,1
lkw leerfahrten nutzen,0,7,0.000000,54.14,de,unknown,false,1
grundreinigung wohnung münchen,0,7,0.000000,61.57,de,commercial,false,1
reinigungsfirma werbung,0,7,0.000000,74.57,de,transactional,false,1
reinigung regensburg,0,7,0.000000,76.57,de,commercial,false,1
umzugsunternehmen ingolstadt,0,7,0.000000,80.00,de,transactional,false,1
fensterreinigung in der nähe,0,6,0.000000,5.17,de,commercial,false,1
umzugshilfe,0,6,0.000000,5.67,de,commercial,false,1
professionelle büroreinigung düsseldorf,0,6,0.000000,6.83,de,commercial,false,1
gebäudereinigungsfirmen in düsseldorf,0,6,0.000000,10.00,de,commercial,false,1
"ich brauche eine schnelle und effiziente reinigung für meine gewerbeimmobilie, wer kann das leisten?",0,6,0.000000,12.50,de,commercial,false,1
düsseldorf unterhaltsreinigung,0,6,0.000000,13.33,de,commercial,false,1
gebäudereinigung düsseldorf golzheim,0,6,0.000000,17.50,de,commercial,false,1
zuverlässige reinigung,0,6,0.000000,19.17,de,commercial,false,1
umzug mit möbelaufbau regensburg,0,6,0.000000,20.17,de,commercial,false,1
cleaning service düsseldorf,0,6,0.000000,22.00,en,transactional,false,1
ozonbehandlung wohnung düsseldorf,0,6,0.000000,23.67,de,unknown,false,1
intensive grundreinigung von wohnungen und gewerbeflächen in ansbach und umgebung,0,6,0.000000,35.50,de,commercial,false,1
günstige umzugsunternehmen münchen,0,6,0.000000,40.50,de,transactional,false,1
günstige umzüge in münchen,0,6,0.000000,41.67,de,commercial,false,1
reinigungskraft büro düsseldorf,0,6,0.000000,42.33,de,commercial,false,1
lüftungsreinigung düsseldorf,0,6,0.000000,46.83,de,commercial,false,1
professionelle wohnungsreinigung düsseldorf,0,6,0.000000,47.50,de,commercial,false,1
umzug muenchen,0,6,0.000000,52.00,de,commercial,false,1
umzug bayern,0,6,0.000000,65.83,de,commercial,false,1
umzugsreinigung münchen,0,6,0.000000,68.33,de,commercial,false,1
grundreinigung regensburg,0,6,0.000000,76.50,de,commercial,false,1
regensburg entrümpelung,0,6,0.000000,79.83,de,commercial,false,1
baugrundreinigung düsseldorf,0,5,0.000000,1.60,de,commercial,false,1
bauschlussreinigung düsseldorf,0,5,0.000000,2.80,de,commercial,false,1
umzugsservice für privat und gewerbliche kunden in kreis traunstein,0,5,0.000000,5.80,de,transactional,false,1
baustellereinigung düsseldorf,0,5,0.000000,9.40,de,commercial,false,1
düsseldorf treppenreinigung,0,5,0.000000,11.00,de,commercial,false,1
cleaning services dusseldorf,0,5,0.000000,12.20,en,transactional,false,1
umzugskosten senken,0,5,0.000000,13.60,de,transactional,false,1
praxis putzen,0,5,0.000000,14.00,de,unknown,false,1
entrümpelung sofort termin landshut,0,5,0.000000,14.60,de,commercial,false,1
reinigung firma in der nähe,0,5,0.000000,15.80,de,transactional,false,1
haus räumen landshut,0,5,0.000000,17.40,de,unknown,false,1
reinigungsservice büro düsseldorf,0,5,0.000000,18.80,de,transactional,false,1
preiswerter umzug,0,5,0.000000,19.20,de,transactional,false,1
umzugsservice in deggendorf,0,5,0.000000,19.20,de,transactional,false,1
guenstig umzug,0,5,0.000000,19.40,de,commercial,false,1
feuchtigkeitsentfernung aus wänden traunstein,0,5,0.000000,21.40,de,unknown,false,1
full service klaviertransport,0,5,0.000000,24.80,de,transactional,false,1
büroreinigung in der nähe,0,5,0.000000,26.60,de,commercial,false,1
haushaltsreinigung düsseldorf,0,5,0.000000,29.00,de,commercial,false,1
wohnungsauflösung bayern,0,5,0.000000,31.40,de,unknown,false,1
bauschutt container mengen,0,5,0.000000,39.20,de,unknown,false,1
gewerbe reinigung,0,5,0.000000,41.60,de,commercial,false,1
günstiger umzug schwanthalerhöhe,0,5,0.000000,41.60,de,commercial,false,1
kaugummientfernung düsseldorf,0,5,0.000000,42.00,de,unknown,false,1
regensburg umzug,0,5,0.000000,51.20,de,commercial,false,1
klavierentsorgung lichtenfels,0,5,0.000000,55.00,de,unknown,false,1
vermüllte wohnung reinigen kosten,0,5,0.000000,66.80,de,transactional,false,1
umfangreiche grundreinigungsarbeiten in bürogebäuden in gummersbach,0,5,0.000000,69.40,de,commercial,false,1
umzug ingolstadt,0,5,0.000000,79.00,de,commercial,false,1
wohnungsauflösung gauting,0,5,0.000000,91.40,de,unknown,false,1
klaviertransport,0,4,0.000000,3.00,de,unknown,false,1
professioneller reinigungsservice,0,4,0.000000,4.50,de,transactional,false,1
klaviertransport in der nähe,0,4,0.000000,5.50,de,unknown,false,1
wohnungsauflösung brunn,0,4,0.000000,5.50,de,unknown,false,1
reinigung hausverwaltungen,0,4,0.000000,9.50,de,commercial,false,1
sperrmüllabholung regensburg,0,4,0.000000,9.50,de,unknown,false,1
entkalkung düsseldorf,0,4,0.000000,10.00,de,unknown,false,1
reinigungskräfte düsseldorf,0,4,0.000000,10.00,de,commercial,false,1
günstige reinigung von glasoberflächen für privatkunden in düsseldorf und umgebung,0,4,0.000000,10.50,de,commercial,false,1
klaviertransport nürnberg kosten,0,4,0.000000,10.50,de,transactional,false,1
endreinigung rosenberg,0,4,0.000000,12.00,de,commercial,false,1
entrümpelung vohenstrauss,0,4,0.000000,12.00,de,commercial,false,1
gebäudereinigung heerdt,0,4,0.000000,12.00,de,commercial,false,1
moving,0,4,0.000000,13.00,en,commercial,false,1
reinigungskraft duesseldorf,0,4,0.000000,14.75,de,commercial,false,1
reinigung düsseldorf preise,0,4,0.000000,15.25,de,transactional,false,1
schaufensterreinigung düsseldorf,0,4,0.000000,15.50,de,commercial,false,1
transport ab sofort buchen,0,4,0.000000,15.75,de,transactional,false,1
cleaning service dusseldorf,0,4,0.000000,16.00,en,transactional,false,1
preiswert umzug,0,4,0.000000,16.50,de,transactional,false,1
fensterreinigung düsseldorf preise,0,4,0.000000,17.25,de,transactional,false,1
günstiger umzugsservice,0,4,0.000000,19.25,de,transactional,false,1
sperrmüll container hagelstadt,0,4,0.000000,19.75,de,unknown,false,1
reinigungsfirma angebot erstellen,0,4,0.000000,20.75,de,transactional,false,1
umzugskosten akzo nobel bayern,0,4,0.000000,21.00,de,transactional,false,1
baustaub entfernen neubau,0,4,0.000000,22.25,de,unknown,false,1
sperrmüll container köfering,0,4,0.000000,25.00,de,unknown,false,1
sperrgut container köfering,0,4,0.000000,25.25,de,unknown,false,1
professionelle schlussdesinfektion düsseldorf,0,4,0.000000,26.25,de,unknown,false,1
umzugspreisvergleich fürth,0,4,0.000000,27.00,de,transactional,false,1
düsseldorf reinigungsservice büro,0,4,0.000000,27.50,de,transactional,false,1
kostengünstige reinigung,0,4,0.000000,28.00,de,transactional,false,1
flexibler reinigungsservice,0,4,0.000000,28.25,de,transactional,false,1
hotelreinigung,0,4,0.000000,30.00,de,commercial,false,1
wohnungsreinigung,0,4,0.000000,30.75,de,commercial,false,1
umzugspreisvergleich regensburg,0,4,0.000000,31.50,de,transactional,false,1
angebot schreiben reinigung,0,4,0.000000,34.00,de,transactional,false,1
sperrmüll container mengen,0,4,0.000000,37.50,de,unknown,false,1
cleaning service regensburg,0,4,0.000000,38.00,en,transactional,false,1
mietfußmatten düsseldorf,0,4,0.000000,38.50,de,unknown,false,1
cleanpany,0,4,0.000000,39.00,de,unknown,false,1
expressanfrage,0,4,0.000000,46.75,de,unknown,false,1
gebäudereinigung düsseldorf wersten,0,4,0.000000,47.25,de,commercial,false,1
umzug in muenchen,0,4,0.000000,47.75,de,commercial,false,1
büro reinigen gebäudereinigung düsseldorf,0,4,0.000000,52.50,de,commercial,false,1
klavierentsorgung coburg,0,4,0.000000,54.00,de,unknown,false,1
umzug munchen,0,4,0.000000,55.25,de,commercial,false,1
renigungsfirma düsseldorf,0,4,0.000000,56.50,de,transactional,false,1
professionelle geruchsbeseitigung wohnung münchen,0,4,0.000000,57.75,de,unknown,false,1
wohnungsauflösung neutraubling,0,4,0.000000,62.50,de,unknown,false,1
schmutzfangmatten mieten düsseldorf,0,4,0.000000,67.00,de,unknown,false,1
reinigung kommune,0,4,0.000000,70.00,de,commercial,false,1
treppenhausreinigung hausverwaltungen,0,4,0.000000,75.00,de,commercial,false,1
landshut reinigung,0,4,0.000000,80.75,de,commercial,false,1
umzugsunternehmen münchen kosten,0,4,0.000000,88.25,de,transactional,false,1
